University,Courses,Chevening
"London School of Economics and Political Science, University of London",Applied Social Data Science,True
"London School of Economics and Political Science, University of London",Data Science,True
"London School of Hygiene & Tropical Medicine, University of London",Health Data Science,False
London South Bank University,Data Science,False
Manchester Metropolitan University,Data Analytics,False
Manchester Metropolitan University,Data Science,False
Newcastle University,Data Science (with Specialisation in Artificial Intelligence),True
Newcastle University,Data Science (with Specialisation in Statistics),True
Newcastle University,Data Science (with Specialisation in Visualization),True
Newcastle University,Data Science,True
Nottingham Trent University,Data Science,True
University of Nottingham,Data Science MSc,True
University of Nottingham,Economics and Data Science MSc,True
University of Plymouth,Data Science and Business Analytics,False
University of Portsmouth,Accounting and Data Analytics,False
University of Portsmouth,Data Analytics,False
Queen Mary University of London,Big Data Science,True
Queen Mary University of London,Data Science and Artificial Intelligence by Conversion,True
Queen Mary University of London,Machine Learning for Visual Data Analytics,True
Queen Mary University of London,MSc Data Analytics,True
Queen's University Belfast,Data Analytics,False
University of Reading,Information Management and Digital Business - Big Data in Business,True
University of Reading,Data Science and Advanced Computing,True
University of Reading,Information Management & Digital Business – Digital Health and Data Analytics,True
Robert Gordon University,Data Science,True
University of St Andrews,Data-Intensive Analysis,False
University of St Andrews,Applied Statistics and Data Mining,False
University of Salford,Data Science,True
University of Southampton,Data Science,True
University of Southampton,Data and Decision Analytics,True
University of Southampton,Data Analytics for Government,True
University of South Wales,Data Science,True
University of Stirling,Finance and Data Analytics,True
University of Stirling,Big Data,True
University of Stirling,Mathematics and Data Science,True
University of Stirling,Data Science for Business,True
University of Strathclyde,Advanced Computer Science with Big Data,False
University of Strathclyde,Data Science for Politics and Policymaking,False
University of Strathclyde,Data Analytics,False
University of Strathclyde,Satellite Data for Sustainable Development,False
University of Suffolk,Data Science and Artificial Intelligence,False
University of Surrey,Data Science,True
University of Sussex,Data Science,True
University of Sussex,Data Science MSc,True
University of Sussex,Human and Social Data Science,True
Swansea University,Finance and Big Data Analytics,True
Swansea University,Data Science,True
Swansea University,Human-Centred Big Data and Artificial Intelligence,True
Swansea University,Health Data Science,True
UCL (University College London),Data Science for Cultural Heritage,True
UCL (University College London),Energy Systems and Data Analytics,True
UCL (University College London),Spatial Data Science and Visualisation,True
UCL (University College London),Spatio-Temporal Analytics and Big Data Mining,True
UCL (University College London),Data Science and Machine Learning,True
UCL (University College London),Social and Geographic Data Science,True
UCL (University College London),"Knowledge, Information and Data Science",True
UCL (University College London),"Computational Archaeology: GIS, Data Science and Complexity",True
UCL (University College London),Health Data Science,True
UCL (University College London),Scientific and Data Intensive Computing,True
UCL (University College London),Data Science,True
University of Wales Trinity Saint David,Data Science and Analytics,False
University of Wales Trinity Saint David,Data and Artificial Intelligence,False
University of Warwick,Data Analytics,True
University of Warwick,Big Data and Digital Futures,True
University of Warwick,"Politics, Big Data and Quantitative Methods",True
University of Warwick,Behavioral and Data Science,True
University of Warwick,Behavioural and Data Science,True
"University of Westminster, London",Big Data Technologies,True
"University of Westminster, London","Data, Culture and Society",True
University of Wolverhampton,Data Science,False
Birmingham City University,Data Journalism,False
Birmingham City University,Big Data Analytics,False
Birmingham City University,Data Networks and Security,False
BPP University,MSc Management with Data Analytics,False
"Bristol, University of the West of England",Data Science,False
Cardiff Metropolitan University,Data Science,False
